1748536366.194744 server started (2348): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1748536366.194774 on Darwin 24.5.0 Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122
1748536366.194781 using libevent 2.1.12-stable select
1748536366.194788 using utf8proc 2.10.0
1748536366.194793 using ncurses 6.5 20240427
1748536366.195086 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1748536366.195089 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1748536366.195098 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1748536366.195101 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1748536366.195103 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1748536366.195106 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1748536366.195109 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1748536366.195111 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1748536366.195114 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1748536366.195117 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1748536366.195119 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1748536366.195122 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1748536366.195124 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1748536366.195127 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1748536366.195130 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1748536366.195132 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1748536366.195135 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1748536366.195137 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1748536366.195140 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1748536366.195142 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1748536366.195145 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1748536366.195148 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1748536366.195150 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1748536366.195153 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1748536366.195155 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1748536366.195158 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1748536366.195161 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1748536366.195163 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1748536366.195166 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1748536366.195168 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1748536366.195171 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1748536366.195174 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1748536366.195176 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1748536366.195179 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1748536366.195182 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1748536366.195184 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1748536366.195187 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1748536366.195189 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1748536366.195192 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1748536366.195195 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1748536366.195197 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1748536366.195200 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1748536366.195202 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1748536366.195205 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1748536366.195208 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1748536366.195210 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1748536366.195213 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1748536366.195216 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1748536366.195218 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1748536366.195221 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1748536366.195224 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1748536366.195227 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1748536366.195229 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1748536366.195232 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1748536366.195234 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1748536366.195237 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1748536366.195240 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1748536366.195243 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1748536366.195245 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1748536366.195252 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1748536366.195254 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1748536366.195257 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1748536366.195260 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1748536366.195262 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1748536366.195265 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1748536366.195268 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1748536366.195271 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1748536366.195274 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1748536366.195276 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1748536366.195279 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1748536366.195282 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1748536366.195285 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1748536366.195287 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1748536366.195290 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1748536366.195293 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1748536366.195296 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1748536366.195298 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1748536366.195301 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1748536366.195304 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1748536366.195306 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1748536366.195309 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1748536366.195312 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1748536366.195314 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1748536366.195317 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1748536366.195320 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1748536366.195322 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1748536366.195325 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1748536366.195328 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1748536366.195331 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1748536366.195333 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1748536366.195336 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1748536366.195339 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1748536366.195342 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1748536366.195344 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1748536366.195347 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1748536366.195349 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1748536366.195352 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1748536366.195355 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1748536366.195357 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1748536366.195360 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1748536366.195363 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1748536366.195365 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1748536366.195368 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1748536366.195371 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1748536366.195373 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1748536366.195376 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1748536366.195379 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1748536366.195381 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1748536366.195384 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1748536366.195387 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1748536366.195390 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1748536366.195392 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1748536366.195395 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1748536366.195401 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1748536366.195404 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1748536366.195407 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1748536366.195409 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1748536366.195412 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1748536366.195415 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1748536366.195417 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1748536366.195420 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1748536366.195423 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1748536366.195425 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1748536366.195428 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1748536366.195430 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1748536366.195433 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1748536366.195436 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1748536366.195438 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1748536366.195441 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1748536366.195444 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1748536366.195447 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1748536366.195449 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1748536366.195452 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1748536366.195454 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1748536366.195457 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1748536366.195460 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1748536366.195462 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1748536366.195465 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1748536366.195467 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1748536366.195470 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1748536366.195472 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1748536366.195475 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1748536366.195478 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1748536366.195480 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1748536366.195483 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1748536366.195485 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1748536366.195488 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1748536366.195490 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1748536366.195493 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1748536366.195496 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1748536366.195498 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1748536366.195501 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1748536366.195503 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1748536366.195506 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1748536366.195509 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1748536366.195511 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1748536366.195514 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1748536366.195669 yylex_token: end at WS
1748536366.195673 yylex_token: bind
1748536366.195677 yylex_token: end at WS
1748536366.195679 yylex_token: -N
1748536366.195683 yylex_token: end at WS
1748536366.195686 yylex_token: Send the prefix key
1748536366.195689 yylex_token: end at WS
1748536366.195691 yylex_token: C-b
1748536366.195695 yylex_token: end at WS
1748536366.195697 yylex_token: send-prefix
1748536366.195701 cmd_parse_build_commands 0:0: bind
1748536366.195704 cmd_parse_build_commands 0:1: -N
1748536366.195707 cmd_parse_build_commands 0:2: Send the prefix key
1748536366.195709 cmd_parse_build_commands 0:3: C-b
1748536366.195712 cmd_parse_build_commands 0:4 0:0: send-prefix
1748536366.195740 cmd_parse_build_commands 0:0: send-prefix
1748536366.196024 args_parse: flags end at 1 of 1
1748536366.196030 cmd_parse_build_commands: send-prefix
1748536366.196033 args_parse_flags: next -N
1748536366.196036 args_parse_flag_argument: -N = Send the prefix key
1748536366.196038 args_parse_flags: next C-b
1748536366.196041 args_parse: flags end at 3 of 5
1748536366.196045 args_parse: 3 = C-b (type STRING)
1748536366.196050 args_parse: 4 = send-prefix (type COMMANDS)
1748536366.196071 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1748536366.196173 cmdq_get_command: [bind-key/0x125007e50] group 2
1748536366.196177 cmdq_append <global>: [bind-key/0x125007e50]
1748536366.196180 yylex_token: end at WS
1748536366.196182 yylex_token: bind
1748536366.196185 yylex_token: end at WS
1748536366.196188 yylex_token: -N
1748536366.196192 yylex_token: end at WS
1748536366.196194 yylex_token: Rotate through the panes
1748536366.196197 yylex_token: end at WS
1748536366.196199 yylex_token: C-o
1748536366.196203 yylex_token: end at WS
1748536366.196205 yylex_token: rotate-window
1748536366.196208 cmd_parse_build_commands 0:0: bind
1748536366.196211 cmd_parse_build_commands 0:1: -N
1748536366.196214 cmd_parse_build_commands 0:2: Rotate through the panes
1748536366.196216 cmd_parse_build_commands 0:3: C-o
1748536366.196219 cmd_parse_build_commands 0:4 0:0: rotate-window
1748536366.196225 cmd_parse_build_commands 0:0: rotate-window
1748536366.196229 args_parse: flags end at 1 of 1
1748536366.196233 cmd_parse_build_commands: rotate-window
1748536366.196235 args_parse_flags: next -N
1748536366.196238 args_parse_flag_argument: -N = Rotate through the panes
1748536366.196241 args_parse_flags: next C-o
1748536366.196243 args_parse: flags end at 3 of 5
1748536366.196245 args_parse: 3 = C-o (type STRING)
1748536366.196249 args_parse: 4 = rotate-window (type COMMANDS)
1748536366.196256 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1748536366.196261 cmdq_get_command: [bind-key/0x1250083c0] group 10
1748536366.196263 cmdq_append <global>: [bind-key/0x1250083c0]
1748536366.196266 yylex_token: end at WS
1748536366.196269 yylex_token: bind
1748536366.196271 yylex_token: end at WS
1748536366.196273 yylex_token: -N
1748536366.196277 yylex_token: end at WS
1748536366.196279 yylex_token: Suspend the current client
1748536366.196282 yylex_token: end at WS
1748536366.196284 yylex_token: C-z
1748536366.196287 yylex_token: end at WS
1748536366.196290 yylex_token: suspend-client
1748536366.196293 cmd_parse_build_commands 0:0: bind
1748536366.196295 cmd_parse_build_commands 0:1: -N
1748536366.196298 cmd_parse_build_commands 0:2: Suspend the current client
1748536366.196300 cmd_parse_build_commands 0:3: C-z
1748536366.196303 cmd_parse_build_commands 0:4 0:0: suspend-client
1748536366.196307 cmd_parse_build_commands 0:0: suspend-client
1748536366.196311 args_parse: flags end at 1 of 1
1748536366.196314 cmd_parse_build_commands: suspend-client
1748536366.196316 args_parse_flags: next -N
1748536366.196319 args_parse_flag_argument: -N = Suspend the current client
1748536366.196322 args_parse_flags: next C-z
1748536366.196324 args_parse: flags end at 3 of 5
1748536366.196326 args_parse: 3 = C-z (type STRING)
1748536366.196329 args_parse: 4 = suspend-client (type COMMANDS)
1748536366.196337 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1748536366.196341 cmdq_get_command: [bind-key/0x125008710] group 18
1748536366.196344 cmdq_append <global>: [bind-key/0x125008710]
1748536366.196346 yylex_token: end at WS
1748536366.196348 yylex_token: bind
1748536366.196351 yylex_token: end at WS
1748536366.196353 yylex_token: -N
1748536366.196357 yylex_token: end at WS
1748536366.196359 yylex_token: Select next layout
1748536366.196362 yylex_token: end at WS
1748536366.196364 yylex_token: Space
1748536366.196367 yylex_token: end at WS
1748536366.196369 yylex_token: next-layout
1748536366.196372 cmd_parse_build_commands 0:0: bind
1748536366.196379 cmd_parse_build_commands 0:1: -N
1748536366.196381 cmd_parse_build_commands 0:2: Select next layout
1748536366.196384 cmd_parse_build_commands 0:3: Space
1748536366.196386 cmd_parse_build_commands 0:4 0:0: next-layout
1748536366.196390 cmd_parse_build_commands 0:0: next-layout
1748536366.196393 args_parse: flags end at 1 of 1
1748536366.196396 cmd_parse_build_commands: next-layout
1748536366.196399 args_parse_flags: next -N
1748536366.196402 args_parse_flag_argument: -N = Select next layout
1748536366.196404 args_parse_flags: next Space
1748536366.196407 args_parse: flags end at 3 of 5
1748536366.196410 args_parse: 3 = Space (type STRING)
1748536366.196412 args_parse: 4 = next-layout (type COMMANDS)
1748536366.196420 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1748536366.196424 cmdq_get_command: [bind-key/0x125008b50] group 26
1748536366.196426 cmdq_append <global>: [bind-key/0x125008b50]
1748536366.196429 yylex_token: end at WS
1748536366.196431 yylex_token: bind
1748536366.196434 yylex_token: end at WS
1748536366.196436 yylex_token: -N
1748536366.196439 yylex_token: end at WS
1748536366.196442 yylex_token: Break pane to a new window
1748536366.196445 yylex_token: end at WS
1748536366.196447 yylex_token: !
1748536366.196450 yylex_token: end at WS
1748536366.196452 yylex_token: break-pane
1748536366.196455 cmd_parse_build_commands 0:0: bind
1748536366.196458 cmd_parse_build_commands 0:1: -N
1748536366.196460 cmd_parse_build_commands 0:2: Break pane to a new window
1748536366.196463 cmd_parse_build_commands 0:3: !
1748536366.196465 cmd_parse_build_commands 0:4 0:0: break-pane
1748536366.196470 cmd_parse_build_commands 0:0: break-pane
1748536366.196473 args_parse: flags end at 1 of 1
1748536366.196477 cmd_parse_build_commands: break-pane
1748536366.196479 args_parse_flags: next -N
1748536366.196482 args_parse_flag_argument: -N = Break pane to a new window
1748536366.196484 args_parse_flags: next !
1748536366.196487 args_parse: flags end at 3 of 5
1748536366.196489 args_parse: 3 = ! (type STRING)
1748536366.196492 args_parse: 4 = break-pane (type COMMANDS)
1748536366.196499 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1748536366.196503 cmdq_get_command: [bind-key/0x125008f80] group 34
1748536366.196506 cmdq_append <global>: [bind-key/0x125008f80]
1748536366.196508 yylex_token: end at WS
1748536366.196511 yylex_token: bind
1748536366.196513 yylex_token: end at WS
1748536366.196516 yylex_token: -N
1748536366.196519 yylex_token: end at WS
1748536366.196521 yylex_token: Split window vertically
1748536366.196524 yylex_token: end at WS
1748536366.196526 yylex_token: "
1748536366.196529 yylex_token: end at WS
1748536366.196531 yylex_token: split-window
1748536366.196534 cmd_parse_build_commands 0:0: bind
1748536366.196537 cmd_parse_build_commands 0:1: -N
1748536366.196539 cmd_parse_build_commands 0:2: Split window vertically
1748536366.196542 cmd_parse_build_commands 0:3: "
1748536366.196545 cmd_parse_build_commands 0:4 0:0: split-window
1748536366.196548 cmd_parse_build_commands 0:0: split-window
1748536366.196552 args_parse: flags end at 1 of 1
1748536366.196555 cmd_parse_build_commands: split-window
1748536366.196558 args_parse_flags: next -N
1748536366.196560 args_parse_flag_argument: -N = Split window vertically
1748536366.196563 args_parse_flags: next "
1748536366.196565 args_parse: flags end at 3 of 5
1748536366.196567 args_parse: 3 = " (type STRING)
1748536366.196570 args_parse: 4 = split-window (type COMMANDS)
1748536366.196577 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1748536366.196581 cmdq_get_command: [bind-key/0x125009200] group 42
1748536366.196583 cmdq_append <global>: [bind-key/0x125009200]
1748536366.196586 yylex_token: end at WS
1748536366.196588 yylex_token: bind
1748536366.196591 yylex_token: end at WS
1748536366.196593 yylex_token: -N
1748536366.196596 yylex_token: end at WS
1748536366.196599 yylex_token: List all paste buffers
1748536366.196601 yylex_token: end at WS
1748536366.196607 yylex_token: #
1748536366.196610 yylex_token: end at WS
1748536366.196612 yylex_token: list-buffers
1748536366.196615 cmd_parse_build_commands 0:0: bind
1748536366.196618 cmd_parse_build_commands 0:1: -N
1748536366.196620 cmd_parse_build_commands 0:2: List all paste buffers
1748536366.196623 cmd_parse_build_commands 0:3: #
1748536366.196625 cmd_parse_build_commands 0:4 0:0: list-buffers
1748536366.196630 cmd_parse_build_commands 0:0: list-buffers
1748536366.196633 args_parse: flags end at 1 of 1
1748536366.196636 cmd_parse_build_commands: list-buffers
1748536366.196639 args_parse_flags: next -N
1748536366.196641 args_parse_flag_argument: -N = List all paste buffers
1748536366.196644 args_parse_flags: next #
1748536366.196646 args_parse: flags end at 3 of 5
1748536366.196649 args_parse: 3 = # (type STRING)
1748536366.196652 args_parse: 4 = list-buffers (type COMMANDS)
1748536366.196659 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1748536366.196663 cmdq_get_command: [bind-key/0x1250094d0] group 50
1748536366.196667 cmdq_append <global>: [bind-key/0x1250094d0]
1748536366.196683 yylex_token: end at WS
1748536366.196687 yylex_token: bind
1748536366.196690 yylex_token: end at WS
1748536366.196693 yylex_token: -N
1748536366.196697 yylex_token: end at WS
1748536366.196700 yylex_token: Rename current session
1748536366.196703 yylex_token: end at WS
1748536366.196707 yylex_token: $
1748536366.196710 yylex_token: end at WS
1748536366.196713 yylex_token: command-prompt
1748536366.196717 yylex_token: end at WS
1748536366.196720 yylex_token: -I#S
1748536366.196723 yylex_token: end at WS
1748536366.196726 yylex_token: rename-session
1748536366.196730 yylex_token: end at WS
